feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2016.05.08	-10.1079435447345	-2.51051169205116	-12.2778685461768	NA	-0.889851260831706	-11.6929060454557	-2.91811898585451	-10.9559404512895	-6.31208426151475	-2.85685569039761
LLM.2016.05.22	NA	-1.51847918695515	NA	NA	-2.04439411935845	-5.9723644330858	-3.02847962999508	-6.14111889082017	-8.84683355100194	-1.9788194552231
LLM.2016.06.05	-9.02586808577068	-1.94455985748046	-10.9518675043269	NA	-0.761548956385086	-11.6888330984931	-3.238996636637	-11.6888330984931	-6.81436398057697	-4.94287872109965
LLM.2016.06.15	-8.75343478324011	-3.01255413907052	NA	NA	-0.572228499934522	-11.692034238576	-2.67059152659934	NA	-6.9371467364125	-4.80939118921412
LLM.2016.06.19	-8.95652136333312	-3.19497013088864	-9.95652136333312	NA	-1.02933600550675	-10.2784494582205	-1.96386621394629	-10.2784494582205	-7.60602411624899	-2.89150921289617
LLM.2016.06.26	-8.63284983011771	-1.62969738145078	-9.95477792500507	NA	-0.818043087024613	-12.2767060198924	-3.86307809086826	-12.2767060198924	-7.08688146101241	-5.07703367505607
LLM.2016.07.03	-8.94266111323946	-1.25441080410628	NA	NA	-1.31585696830721	-6.05513584249787	-2.69758383787979	-12.2645892081268	-8.35769861251831	-7.74102725206981
LLM.2016.07.19	-9.26956503283919	-3.56220590075831	-11.684602532118	NA	-0.57433674134344	-10.0996400313969	-2.16890269383399	-9.94763693795183	-9.18210219158885	-5.98416281397694
LLM.2016.07.31	-10.2683957935566	-1.64725968028192	-10.2683957935566	NA	-0.854503465183916	-10.6834332928354	-3.04077985014233	NA	-8.46104087149895	-9.80896417491926
LLM.2016.08.14	-8.0488182106539	-2.28529179021656	-11.2582715762829	NA	-1.06844701740283	-7.08834657484054	-2.01867304703373	-10.4509166542252	-7.42538156211811	-4.23313201400434
LLM.2016.09.04	-9.81581992483303	-1.65365750445279	-11.6902890427492	NA	-0.708721760846156	-8.10532654202802	-4.51370031102585	-11.6902890427492	-8.69028904274917	-5.7360927323623
LLM.2016.09.11	-9.36135897638597	-1.63389227085652	-6.54032911743129	NA	-0.763927123702601	-9.46089464993689	-5.1545074059453	-12.2682495719945	-6.5678098538534	-4.78040953817144
LLM.2016.10.08	-9.10430753534762	-2.02334200106659	-8.36734194118141	NA	-0.612899783994743	-6.15529146406642	-4.60889661960475	NA	-6.7350737256819	-5.01684469409728
LLM.2016.10.17	-9.27786854617684	-2.67053823242723	-9.81843692753954	NA	-0.413875909006036	-7.92031654155876	-5.29487497148253	NA	-7.57742882803575	-4.1904057049265
LLM.2016.10.26	-9.10823402999493	-1.46517956018576	-6.81872741279994	NA	-0.771107729189322	NA	-4.916215257702	NA	-8.37126843582872	-7.63430284166251
LLM.2016.11.05	-7.40660821299925	-1.24778092044027	-9.01666169468324	NA	-1.00161350689888	-8.94266111323946	-5.45080801690979	-10.6796267074057	-7.17712636687648	-4.67213217085874
LLM.2016.11.09	-11.6917435191713	-1.43357010878108	-9.36981542428391	NA	-1.25399144684767	-7.99130380103018	-4.25156645761392	NA	-11.6917435191713	-2.71828530662377
LLM.2016.11.10	-11.6947931549999	-0.990889581555287	-7.42177466059353	NA	-1.16049027254532	-11.2797556557211	-4.82442843541655	NA	-11.6947931549999	-7.08993109684109
LLM.2016.11.13	-10.6914527411715	-1.53410580580868	-7.784562145563	NA	-0.782309693831625	-8.57597552375159	-4.63255905211795	NA	-7.85015048719058	-5.58292828439335
LLM.2016.11.20	-9.10124618969746	-2.62191501362246	-8.81173957250247	NA	-0.439072345100639	NA	-5.48326863174834	-9.94924309625241	-6.89613175979285	-3.96283216100037
LLM.2016.11.27	-8.45121111183233	-1.92820931693199	-6.54432051622381	NA	-0.670788517561723	-10.0886410324476	-5.10374792483783	-11.2585660338899	-6.50367853172646	-4.20871748443937
