feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2015.05.03	0.00488698839340257	0.207493382203217	0.00122174709835064	0.00203624516391774	0.65495825697414	0.00101812258195887	0.087253105273875	0.00030543677458766	0.00132355935654653	0.0395031561800041
LLM.2015.05.31	0.00152936378466558	0.243372756933116	0.000101957585644372	0.00142740619902121	0.551284665579119	0.000713703099510604	0.111337683523654	0.00050978792822186	0.00132544861337684	0.0883972267536705
LLM.2015.06.14	0.00492257204389293	0.248794995385089	0.000615321505486617	0.00512767921238847	0.582914572864322	0.00266639319044201	0.0519946672136191	0.000512767921238847	0.00492257204389293	0.0975284586196288
LLM.2015.07.08	0.00181763102090276	0.373422195294355	0.000605877006967586	0.00100979501161264	0.476219327476522	0.00070685650812885	0.0728062203372715	0.000100979501161264	0.000201959002322529	0.0731091588407553
LLM.2015.07.09	0.00100725221595488	0.571514907332796	0.000302175664786462	NA	0.345688960515713	0.00040290088638195	0.0737308622078969	NA	NA	0.00735294117647059
LLM.2015.07.10	0.00132248219735504	0.439471007121058	0.000406917599186165	NA	0.342828077314344	0.0126144455747711	0.121973550356053	NA	NA	0.081383519837233
LLM.2015.07.11	0.00346161677866015	0.367949501119935	0.000203624516391774	0.00101812258195887	0.462227652209326	0.00743229484829974	0.0537568723274282	NA	NA	0.103950315618
LLM.2015.07.12	0.00101967982053635	0.454063424084837	0.00020393596410727	NA	0.389415723462833	0.00540430304884266	0.108799836851229	NA	NA	0.041093096767615
LLM.2015.07.15	0.00131379484588176	0.365538150581102	0.000202122283981809	NA	0.416978271854472	0.000101061141990905	0.194542698332491	0.000101061141990905	0.00121273370389085	0.0200101061141991
LLM.2015.07.19	0.00254712175241977	0.226490066225166	0.00356597045338767	0.00203769740193581	0.660723382577687	0.00193581253183902	0.0927152317880795	0.000203769740193581	0.00244523688232298	0.00733571064696893
LLM.2015.07.26	0.00294715447154472	0.231605691056911	0.00132113821138211	0.00203252032520325	0.596646341463415	0.00182926829268293	0.108333333333333	0.00040650406504065	0.00477642276422764	0.0501016260162602
LLM.2015.08.23	0.00151194436044754	0.289990928333837	0.00332627759298458	NA	0.542888821691362	NA	0.125995363370628	0.000503981453482512	0.00473742566273561	0.0310452575345227
LLM.2015.09.06	0.00101750101750102	0.457570207570208	0.00132275132275132	NA	0.39000814000814	0.0133292633292633	0.1003256003256	0.000712250712250712	0.00132275132275132	0.0343915343915344
LLM.2015.09.16	NA	0.561646586345382	0.00220883534136546	NA	0.275903614457831	NA	0.154417670682731	NA	0.000301204819277108	0.00552208835341365
LLM.2015.10.11	0.000301053687907677	0.398294029101857	0.0095333667837431	NA	0.528750627195183	NA	0.0299046663321626	NA	0.00461615654791771	0.0286001003512293
LLM.2015.11.08	0.000705289672544081	0.462670025188917	0.00795969773299748	NA	0.4255919395466	0.000201511335012594	0.0966246851385391	NA	0.00453400503778338	0.00171284634760705
LLM.2015.11.22	0.00121938827354944	0.239406564373539	0.000711309826237171	NA	0.614063611421603	0.000203231378924906	0.116553195813434	NA	0.0152423534193679	0.0126003454933442
LLM.2015.12.27	0.00172047363627163	0.212023074587592	0.0020240866309078	NA	0.713389333063455	0.00192288229936241	0.0348142900516142	0.000910838983908511	0.00293492561481631	0.0302600951320717
LLM.2016.01.10	0.000506072874493927	0.523380566801619	0.000506072874493927	NA	0.310931174089069	0.0173076923076923	0.0777327935222672	0.000708502024291498	0.00597165991902834	0.0629554655870445
LLM.2016.01.24	0.00242620299231702	0.25525677315002	0.000202183582693085	0.000202183582693085	0.618580671249494	0.028507885159725	0.0404367165386171	0.00232511120097048	0.00465022240194096	0.0474120501415285
LLM.2016.02.07	0.00283486888731396	0.211602713374506	0.0010124531740407	NA	0.618811379973676	0.0030373595221221	0.128480307785765	0.00030373595221221	0.00516351118760757	0.0287536701427559
LLM.2016.02.28	0.0037502533954997	0.176059193188729	0.000405432799513481	NA	0.74690857490371	0.00486519359416177	0.0262517737684979	0.0010135819987837	0.00668964119197243	0.0340563551591324
LLM.2016.03.13	0.00211885783472909	0.141257188981939	0.00201795984259913	NA	0.710120068610635	0.00151346988194935	0.0809201896882252	0.000201795984259913	0.011704167087075	0.0501463020885884
LLM.2016.03.27	0.00121396054628225	0.174102175012645	0.000708143651997977	NA	0.656044511886697	0.000404653515427415	0.102781992918564	0.000303490136570562	0.0175012645422357	0.0469398077895802
LLM.2016.04.24	0.000702740688685875	0.229595422146371	0.000903523742596125	NA	0.685674129103504	0.000501957634775625	0.0641501857243249	0.000301174580865375	0.00351370344342937	0.0146571629354482
LLM.2016.05.08	0.000906161900926299	0.175493354812727	0.000201369311316955	NA	0.53966975432944	0.000302053966975433	0.13229963753524	0.000503423278292388	0.0125855819573097	0.138038662907773
LLM.2016.05.22	NA	0.349053676698728	NA	NA	0.242424242424242	0.0159271899886234	0.122556624263109	0.014168993691178	0.0021718895439032	0.253697383390216
LLM.2016.06.05	0.00191841680129241	0.259794022617124	0.000504846526655897	NA	0.58986268174475	0.000302907915993538	0.105916801292407	0.000302907915993538	0.00888529886914378	0.0325121163166397
LLM.2016.06.15	0.00231714688696353	0.123916985694137	NA	NA	0.672577070320371	0.000302236550473504	0.157062260729398	NA	0.00816038686278461	0.0356639129558735
LLM.2016.06.19	0.00201288244766506	0.109198872785829	0.00100644122383253	NA	0.489935587761675	0.000805152979066023	0.256340579710145	0.000805152979066023	0.00513285024154589	0.134762479871176
LLM.2016.06.26	0.00251914550584442	0.323155985489722	0.00100765820233777	NA	0.567210802095929	0.000201531640467553	0.0687222893994357	0.000201531640467553	0.0073559048770657	0.0296251511487303
LLM.2016.07.03	0.00203231378924906	0.419164719032619	NA	NA	0.401686820445077	0.015039122040443	0.154151000914541	0.000203231378924906	0.00304847068387359	0.00467432171527284
LLM.2016.07.19	0.00162025316455696	0.0846582278481013	0.00030379746835443	NA	0.671594936708861	0.000911392405063291	0.222379746835443	0.0010126582278481	0.00172151898734177	0.0157974683544304
LLM.2016.07.31	0.000810783419479072	0.319245971419884	0.000810783419479072	NA	0.553055640012162	0.000608087564609304	0.121516164994426	NA	0.00283774196817675	0.00111482720178372
