feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Burkholderiaceae	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2013.11.10	NA	-10.9480751584911	-3.1865239260466	-8.46264833132084	-9.36311265776992	-6.89496382203152	-10.1000782519361	-10.4626483313208	-9.68504075265729	-6.10007825193613	-7.46264833132084	-8.87768583059968	-3.57825973420717	-13.2700032533784	NA	-4.46264833132084	NA	-6.54208279881524	-5.06543210912924	NA	-7.33926591581556	-3.63882619767447	NA	NA	-8.18254041212811	-4.590523153873	NA	-9.02207573993486	NA	NA	-9.94807515849108	-12.2700032533784	-13.2700032533784	NA	-2.05083473291628	-6.91245124876036	-4.6925744253427	-3.9413283260505	-5.56956353523735	-4.56609967993378	-4.51178003865172	-6.87768583059968	-9.27000325337844	-9.46264833132084	-12.2700032533784	-13.2700032533784	-3.7543034150944	-10.2700032533784
LLM.2013.12.14	NA	-7.14130432350254	-2.87184364850932	-6.59816199847602	-7.94865924556015	-6.94865924556015	-7.94865924556015	-9.94865924556015	-8.36369674483899	-6.48922762692285	-8.94865924556015	NA	-3.7392058799312	NA	NA	-5.94865924556015	-9.94865924556015	-7.36369674483899	-3.88257005510238	NA	-6.94865924556015	-7.62673115067279	NA	NA	NA	-4.99446293517327	NA	-8.36369674483899	-9.94865924556015	NA	-7.62673115067279	-9.94865924556015	-9.94865924556015	NA	-2.0477924375794	-6.94865924556015	-5.04176864995163	-3.90426512620169	-5.19377174339668	-3.99446293517327	-3.71984055506427	-6.14130432350254	NA	-8.94865924556015	NA	NA	-4.06601619619831	-8.94865924556015
LLM.2014.01.19	-10.6532929453828	-2.70395256364934	-2.66839983777302	-9.23825544610397	-7.08850832659929	-5.10382912588304	-8.19386132674552	-6.71469349004696	-7.4833679439405	-6.2840591357171	-8.33136485049545	NA	-4.79117221989432	-7.91632735121661	NA	-4.82040293121807	-9.91632735121661	-7.84593802332521	-3.16679308354735	-10.6532929453828	-10.9163273512166	-7.65329294538282	NA	-12.238255446104	-9.53781572796288	-5.49006259651451	NA	-8.4833679439405	-10.6532929453828	NA	-8.99032793266039	-9.23825544610397	-9.43090052404637	NA	-5.00943675560809	-6.11931437338046	-4.583619417576	-4.11672192876394	-4.91632735121661	-3.31344294249819	-3.65329294538281	-10.238255446104	-8.91632735121661	-7.62354560198876	NA	-12.238255446104	-6.03858310126761	-7.99032793266039
LLM.2014.02.17	NA	-4.31490196878798	-2.21410132800049	NA	-7.05381583474371	-6.8709517775939	-9.80383758173537	-5.12371784797387	-8.50838169820919	-9.09334419893035	-6.21887508101421	NA	-5.2689157635138	-6.92341919748804	NA	-6.75547456017397	-9.9413411054853	-7.83700444567056	-4.09084169172718	-8.61941301059794	-6.53534874580946	-7.90571719575458	NA	-9.35637860476414	-9.09334419893035	-5.76342331328946	NA	-7.73970724431565	-8.35637860476414	NA	-6.44309023795747	-9.9413411054853	-8.80383758173537	NA	-2.8307272999844	-6.36845143706472	-4.79566365028966	-4.75547456017397	-5.71637474048503	-3.54730721011752	-2.91233001882623	-7.97786698151041	-7.26326920037266	-6.45591427831506	NA	-13.2632692003727	-6.33253186280978	-8.09334419893035
LLM.2014.03.23	-13.2673719312653	-4.6453201118089	-2.64990446597108	NA	-8.62351574149055	-7.01944441782169	-11.2673719312653	-5.21752338181471	-8.94544383637791	-7.38472888190343	-8.68240943054412	NA	-3.43448191710053	-13.2673719312653	NA	-5.17461479034542	-9.94544383637791	-6.60916044851348	-3.98660116113467	-13.2673719312653	-7.01944441782169	-6.12782057886648	NA	NA	-8.3131756208784	-5.3190046996806	NA	-7.65266208715007	-10.6824094305441	NA	-7.59494658929378	-9.94544383637791	-10.2673719312653	NA	-2.57824752635202	-5.83274370362855	-4.37255416795733	-4.57040440503099	-4.74773567842206	-4.48273708570775	-3.6618924132036	-5.4218818803209	-7.59494658929378	-8.13808891432031	-12.2673719312653	NA	-5.2958283773145	-9.80794031262798
LLM.2014.05.04	-10.6746336617673	-4.65596981750223	-3.21656887889387	-10.9376680676011	-7.21520204312997	-6.55915644434733	-9.01166864904484	-6.05992381765206	-7.53167570792522	-6.22617316095097	-4.93316667536612	NA	-4.84596823346425	-8.93766806760106	NA	-6.38923144290502	-7.93766806760106	-7.25959616248842	-4.1563083540764	-9.67463366176727	-6.58717082051693	-6.46518029613832	-13.2595961624884	NA	-13.2595961624884	-5.49804493004394	NA	-7.83333140778632	-8.73603420643141	NA	-7.17213332123808	-9.3527055668799	-8.6157399727137	NA	-2.06483930806617	-5.92867928437381	-5.75180152228973	-4.59071117822218	-8.3527055668799	-3.57835775071062	-2.72432078586762	-7.58717082051693	-8.40161516736085	-7.17213332123808	-13.2595961624884	-10.2595961624884	-6.47823644896376	-7.23722834945997
LLM.2014.06.16	-13.2685420003001	-4.33485134534789	-3.14960092757662	-13.2685420003001	-9.18107915904978	-6.96476125212302	-9.18107915904978	-4.08614764689559	-9.18107915904978	-6.58204147311691	-8.09861699885781	NA	-4.72164754041249	-12.2685420003001	-13.2685420003001	-5.69868639196918	NA	-6.87622457752136	-4.00175545960522	NA	-7.77668890397045	-4.37069654429461	NA	NA	-9.46118707824252	-5.39202505373512	NA	-7.02061448685654	-11.2685420003001	NA	-9.80911038166283	-10.9466139054128	-10.2685420003001	-7.59611665832863	-2.60854610787015	-7.56810228215903	-5.27418856344126	-4.52707501389898	-6.71395314862249	-3.47412613395002	-3.99707897239575	-4.57854402888068	-8.51365449813665	-8.02061448685654	-12.2685420003001	NA	-3.67048950013852	-9.46118707824252
LLM.2014.07.24	-9.01871264248726	-3.44646119351566	-2.60219287138288	-13.2666401559308	-8.0571867903019	-5.56620043778976	-8.74307819987384	-5.99051575065661	-6.84037540122875	-8.45928523387324	-4.87003537474899	NA	-3.55239463826473	-9.68167765520969	NA	-5.81542904409852	-9.94471206104349	-7.03782146543497	-4.5421263028109	-10.4592852338732	-6.53871970136765	-4.51175265376738	NA	-11.6816776552097	-9.80720853729355	-5.33000221692828	-9.09671515448854	-7.45928523387324	-10.0967151544885	NA	-7.84037540122875	-9.94471206104349	-9.35974956032233	-6.56620043778976	-5.80720853729355	-7.07681559705083	-4.47222428958074	-4.08673106591591	-6.5251731695297	-3.54725133498877	-3.28364658123654	-6.65193031181564	-7.87432273315209	-6.48528044240619	-13.2666401559308	-11.2666401559308	-4.98586938580025	-7.9812379370686
LLM.2014.08.22	-13.2570931444911	-6.38672842490765	-3.38364903197568	-10.0871681430487	-8.79766152585376	-4.72181776787025	-9.16963030324072	-4.48560367499046	-7.32635580692817	-7.4757334309664	-6.64238330037585	NA	-2.72376341218522	NA	NA	-5.08216746199038	-8.93516504960369	-7.64238330037585	-5.09218621781537	-13.2570931444911	-7.52917268992786	-5.74929850429236	NA	NA	-7.79766152585376	-4.08216746199038	NA	-7.16963030324072	-13.2570931444911	NA	-9.55665342634997	-10.9351650496037	-7.8647757217123	-8.04763977886211	-4.22642600824412	-5.98096873921682	-3.57585473271325	-3.03309147029295	-5.74139330620701	-4.78135971352466	-3.42420313032632	-6.78135971352466	-9.08716814304874	-8.39911214936349	-12.2570931444911	-13.2570931444911	-6.35020254888254	-6.50220564232759
LLM.2014.08.25	NA	-3.32860553307076	-2.31970913258237	-10.2504464701453	-9.00251895670167	-5.59223498739346	-10.6654839694241	-6.09057513336686	-9.79101485150795	-8.0409931045163	-7.31970913258237	NA	-3.25044647014525	-10.9285183752579	NA	-5.38008175056185	-7.60659028037053	-8.25044647014525	-4.83259395525935	-9.16298362889491	-6.05077412530889	-6.34355587453673	NA	-13.2504464701453	-8.92851837525789	-5.07552078764457	NA	-7.89289446552717	-8.6654839694241	NA	-7.75859337381558	-9.92851837525789	-6.72688451408824	-12.2504464701453	-4.86242918480012	-6.53620095247913	-4.33755713391529	-3.97199701192477	-8.55000675200416	-3.48391756154639	-3.12761847533759	-7.34355587453673	-8.0409931045163	-7.02162777964937	NA	-10.2504464701453	-7.08052146870294	-8.16298362889491
