feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2017.08.13	NA	-5.70000388055431	-2.40168335717	NA	-8.27743270859006	-5.80982715850706	-8.41945171346248	-4.43508236517625	-7.6924702078689	-5.04861401809417	-8.32323639820318	NA	-4.16369054254087	NA	NA	-3.84280448095333	NA	-6.34669537102717	-6.56318719092393	NA	-9.18996986733971	-5.51588147614557	-5.94651583047544	-13.2774327085901	-6.99203048972781	-5.2167367769025	NA	-7.37054211298154	-12.2774327085901	-8.81800108995276	-9.37054211298154	-11.2774327085901	-7.16890825181189	-9.6924702078689	-6.76963806839136	-4.14814969164509	-2.70189346175552	-7.30015278509014	-4.47007778653245	-2.87868901665186	-5.31164842392797	-9.95550461370269	-7.95550461370269	NA	NA	NA	-7.72284385691242
LLM.2017.09.16	NA	-4.45798006902205	-3.53164471029877	NA	-8.95623093654988	-5.75459707538023	-9.10823402999493	-3.70451184394392	-7.60573368946574	-5.97437828326014	-8.03023151799365	NA	-3.77234747751764	NA	NA	-3.23786931041152	NA	-6.69319653071608	-6.02077118874459	NA	-9.03023151799365	-6.61994754868544	-5.95623093654988	-12.2781590314372	-8.27815903143724	-5.34742169387435	NA	-7.88584160865848	-10.4708041093796	-8.06870566580829	-9.81872741279994	-10.9562309365499	-7.1906961901869	-10.2781590314372	-7.32396272105036	-4.07358788718803	-3.10448189513382	-6.60573368946574	-3.52996618184778	-2.74970492067245	-5.13860767903844	-8.23376491207878	-7.69319653071608	-12.2781590314372	NA	NA	-9.27815903143724
LLM.2017.10.15	NA	-3.38301155674821	-2.65153498013899	NA	-7.71716595396884	-5.77190891856327	-8.94982671075911	-3.73647942902567	-7.43886479148173	-5.24938699261802	-8.18429196439613	NA	-4.50026533614587	NA	NA	-3.77390296869536	NA	-7.43886479148173	-5.24938699261802	NA	-9.68679230492532	-6.00496826495157	-8.22736068628802	-13.2717548056465	-6.15281373292297	-5.7095123814254	NA	-7.3175584952596	-12.2717548056465	-8.62789861587175	-9.81232318700918	-10.6867923049253	-7.22736068628802	-9.57131508750538	-6.61354332289468	-4.39217155603369	-3.48059191709146	-7.516867303483	-3.42469745955514	-3.23558119309299	-5.77190891856327	-8.81232318700918	-6.47733893929637	-11.2717548056465	NA	NA	-8.10182980420416
LLM.2017.10.25	NA	-4.20003578986685	-3.3520388833119	NA	-8.10692638547537	-5.67693854473055	-9.10692638547537	-4.44080103185961	-7.44396137275294	-6.06739802128873	-8.27685138691768	NA	-3.88453396413892	NA	NA	-3.74157601029688	NA	-6.33433688157844	-6.20003578986685	NA	-8.52196388475421	-7.0480326964218	-7.44396137275294	NA	-5.85899887203179	-4.10692638547537	-8.81741976828038	-7.23245726755923	-8.75328943086067	-7.46949646486008	-10.2768513869177	-11.2768513869177	-6.45667242450249	-4.49221654136016	-6.88453396413892	-3.84430948652942	-3.19870057918303	-6.39420833755584	-3.63479969398971	-3.06739802128873	-6.70699577858673	-9.10692638547537	-7.49549167339302	-11.6918888861965	-13.2768513869177	NA	-8.32265507653081
LLM.2017.11.09	NA	-4.4076012862328	-1.36405357056004	-10.4613332701706	-7.31449188184131	-5.89364876088126	-7.65397834811298	-9.0207606787846	-9.36179759661967	-8.41070719710062	-7.26868819222819	NA	-4.46455717104487	NA	NA	-4.6069100944562	NA	-7.36179759661967	-4.18920340840137	NA	-6.42319814128381	-5.91113618761011	NA	-12.2686881922282	-11.2686881922282	-5.80925657359089	NA	-6.92883818934356	-9.5682484740871	-8.87637076944943	-10.4613332701706	-11.683725691507	-7.65397834811298	-8.41070719710062	-7.36179759661967	-4.5038166014921	-3.56998352545784	-10.9467600973408	-4.2325145796747	-3.5682484740871	-9.18122535097785	-9.46133327017058	-5.85929725609049	-9.0207606787846	NA	NA	-6.20259900177042
LLM.2017.12.03	NA	-4.27807206253271	-2.55928955321518	NA	-9.69028904274917	-5.77540565638712	-9.46789662141272	-3.9243123619239	-8.95332344858296	-6.88293412069157	-7.98984932460808	NA	-4.11034461679464	NA	NA	-3.33714221725109	NA	-6.40488682388692	-5.72066269179269	NA	-9.95332344858296	-5.56789241138944	NA	NA	-7.08542698459031	-4.5610060258042	-5.69782271543458	-7.04643285297445	-13.2752515434703	-7.81581992483303	-9.69028904274917	-11.6902890427492	-6.75168958741331	-6.30946725880824	-6.53378455706918	-3.9646387618108	-3.08913730392868	-5.87437210718814	-4.72450475808708	-3.49389182994567	-5.92652338923925	-10.6902890427492	-7.41727054834275	-12.2752515434703	NA	NA	-7.84898678876823
LLM.2017.12.10	NA	-3.97448276999307	-3.10981588232951	NA	-8.27597896497562	-6.60355362300413	-7.95405087008826	-3.92946523180999	-7.60355362300413	-6.10605396353331	-8.81654734633833	NA	-3.96991727554728	NA	NA	-2.95517841609399	NA	-7.44308895081088	-5.61776748222383	NA	-8.69101646425447	-9.46862404291802	NA	-12.2759789649756	-7.25361115194717	-5.59649886547018	-3.6891391770138	-8.41799796984805	-9.57553924683453	-7.04716027447974	-12.2759789649756	-12.2759789649756	-7.39333591561378	-5.27035441578174	-6.64662234489601	-3.91842696035754	-3.8309641191072	-7.32178265458875	-4.30443541102485	-3.05077152803212	-7.16745450819745	-9.02805145153204	-7.12623184547094	NA	NA	NA	-8.02805145153204
LLM.2017.12.31	NA	-5.49476469174958	-3.45116566474571	NA	-9.02819689183065	-5.35131190166846	-8.95419631038687	-4.80444919088219	-9.10619940383192	-6.25375659224578	-7.49476469174958	NA	-4.14426744466545	NA	NA	-3.04370347809816	NA	-7.60369906330274	-7.21003521481647	NA	-9.81669278663694	-5.82491329344191	NA	NA	-4.44957591798332	-3.45435042330367	-5.13657305287544	-9.36923380966572	NA	-7.99072218641199	-12.2761244052742	-10.6911619045531	-10.2761244052742	-8.02819689183065	-5.84149617763751	-3.81464495798808	-2.54395697961085	-9.95419631038687	-5.16759994849607	-3.23309712167969	-6.97234365709713	-9.02819689183065	-8.81669278663694	NA	NA	NA	-6.69116190455308
LLM.2018.01.14	NA	-5.70936649993067	-2.77176303706854	NA	-8.10168392270943	-4.94069204603713	-8.74804696809473	-4.54709507103179	-8.74804696809473	-6.68664642343059	-7.68664642343059	NA	-4.67169608196462	NA	-13.2716089241517	-3.56080249045239	NA	-7.08178436527173	-5.13205757175295	NA	-8.57116920601065	-7.46425400209414	NA	NA	-12.2716089241517	-4.85798099512757	NA	-8.02368141070816	-9.02368141070816	-6.07193657931538	-11.6866464234306	-12.2716089241517	-6.96782817597464	-3.24646936187324	-6.82866542830302	-3.57812196665242	-3.45622562833821	-9.68664642343059	-4.48697407859422	-2.83281707157348	-7.51672142198828	-7.77975582782207	-6.40124420456834	-12.2716089241517	NA	NA	-7.16308446737358
LLM.2018.01.24	NA	-4.8355863006681	-2.49465879810296	NA	-9.02645063980278	-5.54645769868316	-8.952450058359	-3.70832411507527	-10.1044531518041	-5.42262911183031	-8.27437815324636	NA	-4.33479893893167	NA	NA	-3.40093404073099	NA	-6.56013263558024	-6.1450951363014	NA	-9.81494653460907	-5.46059696202933	NA	-9.952450058359	-6.61616667049457	-4.90369074643915	-11.6894156525252	-8.06492478761741	-11.2743781532464	-7.91682614862828	-9.81494653460907	-12.2743781532464	-9.46702323118876	-4.86498721710866	-7.08455359436635	-4.26875360405248	-2.78854884454446	-7.60195281127487	-4.4930184397217	-3.32455144248725	-6.27437815324636	-8.46702323118876	-8.81494653460907	-11.6894156525252	NA	NA	-8.10445315180405
