feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2014.12.17	-5.92854579067193	-2.24880506519868	-11.2683957935566	NA	-9.02046828011297	-8.8760783707778	-9.80896417491926	-6.72923698244853	-6.30261150889447	-8.36150519794804	-9.56795607541547	-2.73701433304025	NA	-11.6834332928354	-4.83794324189103	-3.39495168104118	-13.2683957935566	-5.04439411935845	-2.82752662594569	-5.18093295230622	-12.2683957935566	-7.36150519794804	-4.41041479842899	-3.30694609915836	-8.62453960378183	-5.76854990647335	-7.00160925286166	-8.51350829139309	-3.71764900817332	-12.2683957935566
LLM.2015.01.06	-8.21887508101421	-2.21750953898998	-10.2632692003727	NA	-7.70868034869502	-8.09334419893035	-9.56282948223157	-6.73970724431565	-3.73970724431565	-7.19718000991489	-8.73970724431565	-3.20257326868511	-9.9413411054853	-9.67830669965151	-4.6302740032297	-4.83700444567056	-13.2632692003727	-3.79770279556326	-2.59704519756948	-5.77141610404299	-12.2632692003727	-10.6783066996515	-5.2134206509221	-4.5319501693476	-9.56282948223157	-5.61221750919373	-3.19583483961614	-6.20798676487147	-5.67081216310458	-10.2632692003727
LLM.2015.01.14	-7.12795748417161	-2.91183525439878	-9.44988557905897	NA	-5.74944586091788	-8.79780888247928	-9.44988557905897	-6.55680078297548	-4.04292138031581	-7.55680078297548	-10.9353124062292	-2.95574430613403	-8.93531240622921	NA	-4.87353620864252	-5.71034604122894	NA	-3.56724252969713	-2.13053602827339	-5.68738489278563	-9.93531240622921	-7.97183828225433	-4.65732765892945	-5.99045396042168	-8.04778713548763	-4.97646973098597	-3.20603156020181	-6.42435048695183	-5.21832151182427	-13.2572405011166
LLM.2015.01.25	-8.06419655831474	-3.24712648142393	-11.2736499239437	NA	-6.93379992105907	-8.8142183053064	-8.95172182905633	-6.83070642809496	-9.68868742322254	-7.08382536506367	-10.2736499239437	-2.86957278770246	-8.36675932833517	NA	-5.40946377928941	-6.53218293754254	NA	-3.71331708973125	-2.04783998332015	-7.25128211091524	-9.46629500188609	-8.31945361355682	-4.52545707435423	-5.90732770969788	-7.88133250116493	-5.32528269235901	-2.03524518461861	-6.18618708269335	-6.73449111283566	-12.2736499239437
LLM.2015.02.08	-7.71453782747178	-3.08921758913448	-10.6841641784283	NA	-6.2918467556495	-9.3622360835409	-9.68416417842826	-6.21384424364823	-7.2918467556495	-7.80969506051212	-11.2691266791494	-2.46661031402819	-8.94719858426206	-13.2691266791494	-5.09420099664874	-5.47471081279931	-13.2691266791494	-4.05238082095411	-1.85127416426352	-4.81379945884486	-10.0992016777071	-8.3622360835409	-4.18431829134506	-4.72223221926178	-9.3622360835409	-5.10421975247373	-4.16321817057826	-6.94719858426206	-4.73385130252861	-13.2691266791494
LLM.2015.02.23	-6.89467168979586	-3.33454607153909	-11.2697111211428	NA	-7.3389737835799	-9.0217836076992	-8.68474862042163	-6.82676762529405	-6.42422107019841	-5.93879424302817	NA	-1.99766459675284	-8.94778302625542	-13.2697111211428	-5.25848386571953	-5.10983978436439	NA	-4.98894035101218	-1.86032018500508	-5.3213438895581	-12.2697111211428	-8.74614916508577	-3.94778302625542	-3.62585493136806	-9.18224827989244	-6.59728577917129	-7.38706807178094	-7.71512226946514	-4.87739369836402	-13.2697111211428
LLM.2015.03.08	-6.98794684855177	-2.41552960114973	-8.86241596646791	NA	-7.58230804727518	-8.12545037230171	-8.79530177060938	-6.62537676916706	-8.34784279363816	-5.0163286499216	-13.2547333892467	-3.62902454618221	-7.82846863454458	NA	-5.56124643174735	-6.03556486878451	NA	-4.22406625299973	-1.65900969514505	-6.38436866966327	-9.08480838780436	-13.2547333892467	-4.07233903584214	-3.33736130976983	-10.6697708885255	-6.00680587580309	-4.63634788698807	-6.61087719947195	-5.94185043396232	-11.6697708885255
LLM.2015.03.24	-7.93014594790882	-3.07465450480695	-12.2520740427962	-12.2520740427962	-6.20767992343773	-8.12279102585122	-9.08214904135387	-6.44471912073858	-6.14354958601802	-6.20767992343773	-8.25207404279618	-2.58141779367774	-8.08214904135387	-10.4447191207386	-5.3272615391904	-4.5447149107153	-11.667111542075	-4.0997892004896	-1.94146126113666	-7.69748519111855	-8.39409304766861	-9.44471912073858	-3.95745329390456	-6.77634061182979	-8.44471912073858	-6.30955953745694	-2.83422152791029	-6.79264242415889	-7.39409304766861	-8.04262067716723
LLM.2015.04.04	-7.41459252059617	-3.73968789456222	-12.2474825347609	NA	-7.66252003403976	-8.7239205787039	-7.38950153963334	-6.66252003403976	-6.16001969351058	-5.14419472634889	NA	-2.06013046156042	-8.3405919391524	NA	-5.38950153963334	-5.53323701709479	-13.2474825347609	-5.36483948539908	-1.53926080472256	-7.22511472173246	-11.2474825347609	-8.20308841540246	-3.35569883154261	-4.99009469206826	-8.66252003403976	-6.47929820998399	-6.32861929748632	-7.57505719278942	-5.28169825009883	-12.2474825347609
LLM.2015.04.19	-8.67860013909946	-3.18008331248877	-13.2635626398206	-12.2635626398206	-5.70897378814298	-8.67860013909946	-9.56312292167952	-6.72440382871258	-6.21916852046216	-7.17609979857028	-6.29777835515853	-2.79087180057783	-8.87124521704185	-9.0936376383783	-5.11381552031593	-6.46914677347051	-11.6786001390995	-4.20557091706144	-2.14267679703283	-9.0936376383783	-8.67860013909946	-9.0936376383783	-4.86695785863876	-3.71666817993298	-8.7400006837636	-6.52209565341947	-2.29705718791487	-6.82061914397189	-7.38091959045877	-7.97816042095837
