feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2016.07.19	0.00131645569620253	0.0548860759493671	0.000810126582278481	NA	0.00172151898734177	0.00212658227848101	0.000810126582278481	0.00465822784810127	0.21620253164557	0.0246075949367089	0.000911392405063291	0.309974683544304	NA	0.00020253164556962	0.00516455696202532	0.000607594936708861	NA	0.0137721518987342	0.246886075949367	0.00212658227848101	0.0010126582278481	0.00030379746835443	0.0723037974683544	NA	0.00172151898734177	0.0132658227848101	0.0157974683544304	0.00253164556962025	0.00556962025316456	0.000708860759493671
LLM.2016.07.31	0.00141887098408838	0.181108746326138	NA	NA	0.000405391709739536	0.000810783419479072	0.000810783419479072	0.00304043782304652	0.117056856187291	0.0117563595824465	0.000608087564609304	0.22722205330901	NA	NA	0.034052903618121	0.0303030303030303	NA	0.0275666362622884	0.228843620147968	0.0180399310834093	NA	0.000810783419479072	0.0668896321070234	NA	0.00283774196817675	0.0167224080267559	0.00111482720178372	0.0031417857504814	0.0250329380764163	0.000405391709739536
LLM.2016.08.14	0.00173504796897326	0.163808940600122	0.000510308226168606	NA	0.00204123290467442	0.000816493161869769	0.00326597264747908	0.00908348642580118	0.229434578485405	0.0086752398448663	0.00734843845682792	0.198714023270055	NA	0.00255154113084303	0.0192896509491733	0.000306184935701163	NA	0.0137783221065524	0.147989385588896	0.000408246580934885	0.000714431516636048	0.000408246580934885	0.105123494590733	0.00398040416411513	0.00581751377832211	0.00704225352112676	0.0531741171667687	0.00500102061645234	0.00255154113084303	0.00642988364972443
LLM.2016.09.04	0.0047407706273956	0.209299979826508	0.00030260238047206	0.0174500706072221	0.00524510792818237	0.00353036110550736	0.000806939681258826	0.0045390357070809	0.0153318539439177	0.0105910833165221	0.00363122856566472	0.241375832156546	NA	0.000605204760944119	0.0197700221908412	0.000605204760944119	NA	0.0598144038733105	0.273956021787371	0.00171474682267501	0.00030260238047206	0.00030260238047206	0.0645551745007061	0.00110954206173089	0.00242081904377648	0.00706072221101473	0.0187613475892677	0.0121040952188824	0.0145249142626589	0.00554771030865443
LLM.2016.09.11	0.00364889519562133	0.19278329616866	NA	0.00030407459963511	0.0030407459963511	0.00152037299817555	0.00152037299817555	0.00648692479221569	0.0158118791810257	0.0135819987837016	0.00141901479829718	0.223089397932293	NA	0.00030407459963511	0.0388201905534158	0.00263531319683762	0.00020271639975674	0.0532130549361443	0.226028785728765	0.00547334279343199	0.00020271639975674	0.0107439691871072	0.110379079667545	0.00131765659841881	0.0105412527873505	0.0105412527873505	0.0363875937563349	0.00962902898844516	0.0196634907764038	0.000709507399148591
LLM.2016.10.08	0.0058544463510649	0.179570001009387	0.00111032603209852	0.000403754920763097	0.00302816190572323	0.00201877460381548	0.00070657111133542	0.0123145250832745	0.0152417482588069	0.00878166952659736	0.0140304834965176	0.292419501362673	NA	0.00413848793782174	0.017866155243767	0.00191783587362471	NA	0.0279600282628445	0.239123851821944	0.00333097809629555	NA	0.00302816190572323	0.0937720803472292	0.00302816190572323	0.009387301907742	0.00969011809831432	0.0308872514383769	0.00565256889068336	0.00969011809831432	0.00504693650953871
LLM.2016.10.17	0.00281917035843737	0.102396294804672	0.000302053966975433	0.000201369311316955	0.00291985501409585	0.00151026983487716	0.00130890052356021	0.00553765606121627	0.0140958517921869	0.0106725734997986	0.00412807088199758	0.34655658477648	NA	0.00120821586790173	0.0119814740233588	0.00140958517921869	NA	0.0228554168344744	0.239830849778494	0.00503423278292388	NA	0.00110753121224325	0.131796214256947	0.00161095449053564	0.00523560209424084	0.0146999597261377	0.0547724526782118	0.00604107933950866	0.00734997986306887	0.00261780104712042
LLM.2016.10.26	0.00533521240185222	0.195892893094423	0.00161063015904973	NA	0.00110730823434669	0.00291926716327763	0.000201328769881216	0.00463056170726797	0.0224481578417556	0.00473122609220858	NA	0.306019730219448	NA	NA	0.0408697402858869	0.0460036239178579	0.00050332192470304	0.0276827058586672	0.193376283470908	0.00865713710489229	NA	0.00885846587477351	0.0609019528890679	0.000201328769881216	0.00301993154821824	0.0162069659754379	0.0050332192470304	0.00412723978256493	0.0389571169720153	0.000704650694584256
LLM.2016.11.05	0.00436947464688548	0.244487348846662	0.00162585103139925	NA	0.00762117670968398	0.00193069809978661	0.00426785895742303	0.00802763946753379	0.00945025912000813	0.00548724723097246	0.00203231378924906	0.176709683975206	NA	0.000609694136774718	0.0374961894116452	0.000304847068387359	NA	0.10893201910375	0.204857229956305	0.000304847068387359	0.000609694136774718	0.00193069809978661	0.0957219794736307	0.000406462757849812	0.00690986688344681	0.00589370998882227	0.0392236561325069	0.0238796870236765	0.00569047860989737	0.00121938827354944
LLM.2016.11.09	0.00927045546150746	0.303708182184603	0.000100765820233777	NA	0.000100765820233777	0.0013099556630391	0.000201531640467553	0.0168278919790407	0.0240830310358726	0.0182386134623136	0.00392986698911729	0.265014107214833	NA	0.00090689238210399	0.0244860943168077	0.00211608222490931	NA	0.0110842402257154	0.107819427650141	0.000100765820233777	NA	0.00151148730350665	0.0201531640467553	0.00141072148327287	0.00030229746070133	0.00503829101168884	0.151954856912535	0.00110842402257154	0.0276098347440548	0.00161225312374043
